code,name,exchange
000001.SZ,平安银行,SZSE
000002.SZ,万科Ａ,SZSE
000004.SZ,*ST国华,SZSE
000006.SZ,深振业Ａ,SZSE
000007.SZ,全新好,SZSE
000008.SZ,神州高铁,SZSE
000009.SZ,中国宝安,SZSE
000010.SZ,*ST美丽,SZSE
000011.SZ,深物业A,SZSE
000012.SZ,南玻Ａ,SZSE
000014.SZ,沙河股份,SZSE
000016.SZ,*ST康佳A,SZSE
000017.SZ,深中华A,SZSE
000019.SZ,深粮控股,SZSE
000020.SZ,深华发Ａ,SZSE
000021.SZ,深科技,SZSE
000025.SZ,特力Ａ,SZSE
000026.SZ,飞亚达,SZSE
000027.SZ,深圳能源,SZSE
000028.SZ,国药一致,SZSE
000029.SZ,深深房Ａ,SZSE
000030.SZ,富奥股份,SZSE
000031.SZ,大悦城,SZSE
000032.SZ,深桑达Ａ,SZSE
000034.SZ,神州数码,SZSE
000035.SZ,中国天楹,SZSE
000036.SZ,华联控股,SZSE
000037.SZ,深南电A,SZSE
000039.SZ,中集集团,SZSE
000042.SZ,中洲控股,SZSE
000045.SZ,深纺织Ａ,SZSE
000048.SZ,京基智农,SZSE
000049.SZ,德赛电池,SZSE
000050.SZ,深天马Ａ,SZSE
000055.SZ,方大集团,SZSE
000056.SZ,*ST皇庭,SZSE
000058.SZ,深赛格,SZSE
000059.SZ,华锦股份,SZSE
000060.SZ,中金岭南,SZSE
000061.SZ,农产品,SZSE
000062.SZ,深圳华强,SZSE
000065.SZ,北方国际,SZSE
000066.SZ,中国长城,SZSE
000068.SZ,华控赛格,SZSE
000070.SZ,特发信息,SZSE
000078.SZ,ST海王,SZSE
000088.SZ,盐田港,SZSE
000089.SZ,深圳机场,SZSE
000090.SZ,天健集团,SZSE
000096.SZ,广聚能源,SZSE
000099.SZ,中信海直,SZSE
000100.SZ,TCL科技,SZSE
000151.SZ,中成股份,SZSE
000153.SZ,丰原药业,SZSE
000155.SZ,川能动力,SZSE
000156.SZ,华数传媒,SZSE
000157.SZ,中联重科,SZSE
000158.SZ,常山北明,SZSE
000159.SZ,国际实业,SZSE
000166.SZ,申万宏源,SZSE
000301.SZ,东方盛虹,SZSE
000333.SZ,美的集团,SZSE
000400.SZ,许继电气,SZSE
000401.SZ,金隅冀东,SZSE
000402.SZ,金融街,SZSE
000403.SZ,派林生物,SZSE
000404.SZ,长虹华意,SZSE
000408.SZ,藏格矿业,SZSE
000409.SZ,云鼎科技,SZSE
000410.SZ,沈阳机床,SZSE
000411.SZ,英特集团,SZSE
000415.SZ,渤海租赁,SZSE
000417.SZ,合百集团,SZSE
000421.SZ,南京公用,SZSE
000422.SZ,湖北宜化,SZSE
000423.SZ,东阿阿胶,SZSE
000425.SZ,徐工机械,SZSE
000426.SZ,兴业银锡,SZSE
000428.SZ,华天酒店,SZSE
000429.SZ,粤高速Ａ,SZSE
000430.SZ,张家界,SZSE
000488.SZ,ST晨鸣,SZSE
000498.SZ,山东路桥,SZSE
000503.SZ,国新健康,SZSE
000504.SZ,*ST生物,SZSE
000505.SZ,京粮控股,SZSE
000506.SZ,招金黄金,SZSE
000507.SZ,珠海港,SZSE
000509.SZ,华塑控股,SZSE
000510.SZ,新金路,SZSE
000513.SZ,丽珠集团,SZSE
000514.SZ,渝开发,SZSE
000516.SZ,国际医学,SZSE
000517.SZ,荣安地产,SZSE
000518.SZ,四环生物,SZSE
000520.SZ,凤凰航运,SZSE
000521.SZ,长虹美菱,SZSE
000523.SZ,红棉股份,SZSE
000524.SZ,岭南控股,SZSE
000525.SZ,红太阳,SZSE
000526.SZ,学大教育,SZSE
000528.SZ,柳工,SZSE
000529.SZ,广弘控股,SZSE
000530.SZ,冰山冷热,SZSE
000531.SZ,穗恒运Ａ,SZSE
000532.SZ,华金资本,SZSE
000533.SZ,顺钠股份,SZSE
000534.SZ,万泽股份,SZSE
000536.SZ,华映科技,SZSE
000537.SZ,绿发电力,SZSE
000538.SZ,云南白药,SZSE
000539.SZ,粤电力Ａ,SZSE
000543.SZ,皖能电力,SZSE
000544.SZ,中原环保,SZSE
000545.SZ,金浦钛业,SZSE
000546.SZ,金圆股份,SZSE
000547.SZ,航天发展,SZSE
000548.SZ,湖南投资,SZSE
000550.SZ,江铃汽车,SZSE
000551.SZ,创元科技,SZSE
000552.SZ,甘肃能化,SZSE
000554.SZ,泰山石油,SZSE
000555.SZ,神州信息,SZSE
000557.SZ,西部创业,SZSE
000558.SZ,天府文旅,SZSE
000559.SZ,万向钱潮,SZSE
000560.SZ,我爱我家,SZSE
000561.SZ,烽火电子,SZSE
000564.SZ,供销大集,SZSE
000565.SZ,渝三峡Ａ,SZSE
000566.SZ,海南海药,SZSE
000567.SZ,海德股份,SZSE
000568.SZ,泸州老窖,SZSE
000571.SZ,新大洲A,SZSE
000572.SZ,海马汽车,SZSE
000576.SZ,甘化科工,SZSE
000581.SZ,威孚高科,SZSE
000582.SZ,北部湾港,SZSE
000586.SZ,汇源通信,SZSE
000589.SZ,贵州轮胎,SZSE
000590.SZ,古汉医药,SZSE
000591.SZ,太阳能,SZSE
000592.SZ,平潭发展,SZSE
000593.SZ,德龙汇能,SZSE
000595.SZ,*ST宝实,SZSE
000596.SZ,古井贡酒,SZSE
000597.SZ,东北制药,SZSE
000598.SZ,兴蓉环境,SZSE
000599.SZ,青岛双星,SZSE
000600.SZ,建投能源,SZSE
000601.SZ,韶能股份,SZSE
000603.SZ,盛达资源,SZSE
000605.SZ,渤海股份,SZSE
000607.SZ,华媒控股,SZSE
000608.SZ,阳光股份,SZSE
000609.SZ,*ST中迪,SZSE
000610.SZ,*ST西旅,SZSE
000612.SZ,焦作万方,SZSE
000615.SZ,*ST美谷,SZSE
000617.SZ,中油资本,SZSE
000620.SZ,盈新发展,SZSE
000623.SZ,吉林敖东,SZSE
000626.SZ,远大控股,SZSE
000628.SZ,高新发展,SZSE
000629.SZ,钒钛股份,SZSE
000631.SZ,顺发恒能,SZSE
000632.SZ,ST三木,SZSE
000633.SZ,合金投资,SZSE
000635.SZ,英力特,SZSE
000636.SZ,风华高科,SZSE
000638.SZ,*ST万方,SZSE
000639.SZ,ST西王,SZSE
000650.SZ,仁和药业,SZSE
000651.SZ,格力电器,SZSE
000652.SZ,泰达股份,SZSE
000655.SZ,金岭矿业,SZSE
000656.SZ,*ST金科,SZSE
000657.SZ,中钨高新,SZSE
000659.SZ,珠海中富,SZSE
000661.SZ,长春高新,SZSE
000663.SZ,永安林业,SZSE
000665.SZ,湖北广电,SZSE
000668.SZ,*ST荣控,SZSE
000669.SZ,ST金鸿,SZSE
000670.SZ,盈方微,SZSE
000672.SZ,上峰水泥,SZSE
000676.SZ,智度股份,SZSE
000677.SZ,ST海龙,SZSE
000678.SZ,襄阳轴承,SZSE
000679.SZ,大连友谊,SZSE
000680.SZ,山推股份,SZSE
000681.SZ,视觉中国,SZSE
000682.SZ,东方电子,SZSE
000683.SZ,博源化工,SZSE
000685.SZ,中山公用,SZSE
000686.SZ,东北证券,SZSE
000688.SZ,国城矿业,SZSE
000690.SZ,宝新能源,SZSE
000691.SZ,*ST亚太,SZSE
000692.SZ,惠天热电,SZSE
000695.SZ,滨海能源,SZSE
000697.SZ,炼石航空,SZSE
000698.SZ,ST沈化,SZSE
000700.SZ,模塑科技,SZSE
000701.SZ,厦门信达,SZSE
000702.SZ,正虹科技,SZSE
000703.SZ,恒逸石化,SZSE
000705.SZ,浙江震元,SZSE
000707.SZ,双环科技,SZSE
000708.SZ,中信特钢,SZSE
000709.SZ,河钢股份,SZSE
000710.SZ,贝瑞基因,SZSE
000711.SZ,ST京蓝,SZSE
000712.SZ,锦龙股份,SZSE
000713.SZ,国投丰乐,SZSE
000715.SZ,中兴商业,SZSE
000716.SZ,黑芝麻,SZSE
000717.SZ,中南股份,SZSE
000718.SZ,苏宁环球,SZSE
000719.SZ,中原传媒,SZSE
000720.SZ,新能泰山,SZSE
000721.SZ,西安饮食,SZSE
000722.SZ,湖南发展,SZSE
000723.SZ,美锦能源,SZSE
000725.SZ,京东方Ａ,SZSE
000726.SZ,鲁泰Ａ,SZSE
000728.SZ,国元证券,SZSE
000729.SZ,燕京啤酒,SZSE
000733.SZ,振华科技,SZSE
000735.SZ,罗牛山,SZSE
000736.SZ,*ST中地,SZSE
000737.SZ,北方铜业,SZSE
000738.SZ,航发控制,SZSE
000739.SZ,普洛药业,SZSE
000750.SZ,国海证券,SZSE
000751.SZ,锌业股份,SZSE
000752.SZ,*ST西发,SZSE
000753.SZ,漳州发展,SZSE
000755.SZ,山西高速,SZSE
000756.SZ,新华制药,SZSE
000757.SZ,浩物股份,SZSE
000758.SZ,中色股份,SZSE
000759.SZ,中百集团,SZSE
000761.SZ,本钢板材,SZSE
000762.SZ,西藏矿业,SZSE
000766.SZ,通化金马,SZSE
000767.SZ,晋控电力,SZSE
000768.SZ,中航西飞,SZSE
000777.SZ,中核科技,SZSE
000778.SZ,新兴铸管,SZSE
000779.SZ,甘咨询,SZSE
000782.SZ,恒申新材,SZSE
000783.SZ,长江证券,SZSE
000785.SZ,居然智家,SZSE
000786.SZ,北新建材,SZSE
000788.SZ,北大医药,SZSE
000789.SZ,万年青,SZSE
000790.SZ,华神科技,SZSE
000791.SZ,甘肃能源,SZSE
000792.SZ,盐湖股份,SZSE
000793.SZ,*ST华闻,SZSE
000796.SZ,凯撒旅业,SZSE
000798.SZ,中水渔业,SZSE
000799.SZ,酒鬼酒,SZSE
000800.SZ,一汽解放,SZSE
000801.SZ,四川九洲,SZSE
000802.SZ,北京文化,SZSE
000803.SZ,山高环能,SZSE
000807.SZ,云铝股份,SZSE
000809.SZ,和展能源,SZSE
000810.SZ,创维数字,SZSE
000811.SZ,冰轮环境,SZSE
000812.SZ,陕西金叶,SZSE
000813.SZ,德展健康,SZSE
000815.SZ,美利云,SZSE
000816.SZ,智慧农业,SZSE
000818.SZ,航锦科技,SZSE
